Date,BCOMTR,LBUSTRUU,LC07TRUU,LD01TRUU,LG30TRUU,LMBITR,LT01TRUU,LUICTRUU,LULCTRUU,M1CXBRU,M1USMVOL,M2US000$,M2USEV,M2USRWGT,M2USSNQ,MID,MXEA,MXEF,MXUSMVOL,MXWD,MXWOUIM,NDDUE15X,NDDUJN,NDDUNA,NDDUPXJ,NDDUUK,NDDUUS,NDDUWXUS,NDUEEGF,RU10GRTR,RU10VATR,RU20GRTR,RU20INTR,RU20VATR,RUMCINTR,RUMRINTR,RUTPINTR,S5COND,S5CONS,S5ENRS,S5FINL,S5HLTH,S5INDU,S5INFT,S5MATR,S5TELS,S5UTIL,SPX,SPXT
1/2/01,179.932,938.84,237.3865,843.8,311.1466,532.604,167.09,1143.67,1169.96,532.6,1105.78,563.52,312.53,599.85,1226.16,494.53,1486.96,333.35,1035.75,285.72,609.7,3168.533,3748.933,2840.85,1455.567,3221.427,2651.476,2808.133,100.017,466.8311,487.432,1902.478,1811.882,2443.88,2992.18,551.3851,2646.8301,234.4817,237.06,245.14,386.05,434.87,270.83,444.92,128.66,199.72,208.3,1283.27,1785.86
1/3/01,180.049,933.62,236.1805,842.59,311.6739,533.3132,166.89,1137.28,1160.99,528.24,1112.42,581.11,324.59,611.89,1276.98,514.17,1472.46,335.52,1045.22,291.6,604.71,3131.098,3752.538,2982.072,1439.968,3169.837,2784.465,2787.269,100.67,512.4418,496.304,2027.278,1897.688,2523.28,3097.5,574.032,2801.3401,255.1991,226.07,236.32,405.71,418.89,284.7,522.52,130.16,214.58,197.63,1347.56,1875.56
1/4/01,182.921,938.37,237.3955,844.64,313.6097,534.575,167.39,1143.7,1170.49,533.03,1086.49,562.91,321.47,605.31,1254.53,504.52,1490.64,347.23,1024.95,292.04,610.25,3190.099,3715.86,2948.977,1489.627,3216.42,2752.528,2819.614,104.187,505.2192,490.858,1978.159,1869.608,2505.96,3044.62,574.1828,2770.74,260.4867,215.97,230.27,400.85,399.21,284.72,522.95,133.69,221.29,185.1,1333.34,1855.82
1/5/01,183.865,943.45,238.6471,847.9,314.7569,536.428,167.94,1150.6,1182.5,534.27,1072.38,548.42,314.82,595.94,1223.79,489.37,1495.27,348.56,1009.91,288.54,611.67,3196.113,3730.855,2869.776,1512.397,3221.316,2678.924,2823.976,104.584,482.9678,483.398,1897.194,1814.574,2456,2968.14,561.6012,2689.76,251.899,219.4,233.17,390.24,397.8,279.87,488.23,130.63,214.33,186.16,1298.35,1807.13
1/8/01,185.292,944.95,239.0361,849.18,315.0516,538.1271,168.18,1153.51,1186.26,531.49,1074.61,547.85,316.09,597.31,1224.04,487.92,1487.16,348.12,1010.82,287.49,608.48,3175.517,3730.052,2863.545,1489.568,3203.21,2672.651,2809.619,104.459,480.1608,483.436,1879.166,1808.782,2460.69,2959.01,556.8577,2683.3701,247.8704,223.86,232.75,388.45,397.48,275.98,489.74,131.17,212.64,188.94,1295.86,1804.04
1/9/01,186.003,942.45,238.5003,847.62,316.2496,538.8276,167.86,1149.78,1183.04,522.84,1082.37,549.58,317.14,597.59,1230.71,488.12,1462.05,351.87,1011.89,286.18,598.58,3117.391,3658.252,2877.706,1484.127,3155.808,2688.082,2762.705,105.584,485.9288,482.726,1896.159,1817.879,2465.17,2967.15,560.7028,2696.96,248.2717,224.81,229.42,381.29,405.82,274.05,497.75,126.68,223.3,185.99,1300.8,1810.98
1/10/01,186.78,939.08,237.6914,846.37,316.1686,539.6084,167.65,1145.36,1175.33,519.82,1082.12,557.23,320.81,600.13,1238.7,500.72,1452.31,349.46,1013.37,286.55,595.1,3099.771,3620.592,2904.386,1473.335,3140.167,2713.941,2745.417,104.861,495.4707,486.413,1962.844,1863.201,2506.32,3020.06,571.8496,2727.98,249.0073,224.13,228.73,387.29,400.99,275.33,512.68,126.78,229.01,184.33,1313.27,1828.5
1/11/01,185.484,938.32,237.634,846.92,318.7365,539.3692,167.64,1146.38,1177.29,522.78,1077.4,559.43,320.55,598.68,1246.64,506.83,1462.85,350.26,1008.83,289.01,598.47,3173.339,3521.776,2934.697,1452.357,3175.345,2740.529,2767.748,105.103,509.8082,485.57,2038.237,1896.187,2508.17,3043.2,584.7475,2764.6799,253.2564,219.15,231.62,388.78,393.09,280.65,535.53,123.7,231.87,177.25,1326.82,1847.37
1/12/01,185.985,934.03,236.6613,845.37,319.8979,538.0731,167.3,1140.71,1169.21,525.31,1080.63,555.56,317.17,597.63,1236.44,507.83,1469.45,353.23,1008.51,288.87,601.39,3201.533,3523.499,2917.757,1464.448,3165.955,2725.463,2778.063,105.994,506.7036,483.18,2057.15,1903.675,2506.69,3036.72,591.7454,2746.73,256.5269,217.12,232.48,381.46,397.2,277.95,525.18,122.14,230.55,181.54,1318.32,1835.54
1/16/01,184.517,935.27,236.9751,846.21,320.3378,537.9017,167.44,1142.01,1173.18,522.84,1091.65,560.68,318.91,603.27,1241.46,508.2,1458.32,356.39,1020.49,289.09,598.55,3145.132,3609.7,2938.942,1460.045,3111.863,2746.05,2758.142,106.941,507.5134,487.954,2091.268,1933.224,2543.3,3051.29,606.7502,2764.5801,260.8195,220.92,232.55,388.07,403,283.47,517.66,125.5,228.13,178.8,1326.65,1847.13
1/17/01,182.361,938.51,237.8041,846.82,321.5384,538.0353,167.59,1145.31,1183.46,528.66,1085.36,561.85,318.4,602.32,1237.42,509.42,1474.33,360.19,1017.06,290.85,605.21,3176.558,3643.296,2943.033,1454.087,3172.569,2748.76,2788.35,108.087,513.9654,485.531,2101.783,1933.954,2534.06,3063.09,607.7571,2772.4199,261.2457,219.63,227.29,386.66,393.79,279.71,536.81,124.19,229.65,180.86,1329.47,1851.16
1/18/01,184.524,942.41,238.7965,849.06,323.1768,538.4897,167.96,1150.37,1192.97,535.32,1092.77,566.35,323.59,603.03,1253.1,509.73,1489.47,365.01,1023.15,294.29,612.82,3215.847,3684.797,2981.392,1469.945,3184.882,2785.769,2816.097,109.535,528.3581,485.389,2112.967,1938.502,2533.48,3063.29,610.5222,2818.6599,259.5206,219.89,222.99,382.03,399.09,282.45,568.58,123.92,233.65,183.43,1347.97,1876.94
1/19/01,186.495,939.64,238.1618,848.75,323.2832,538.3668,167.87,1148.09,1187.91,534.41,1085.49,563.06,321.75,598.04,1245.4,504.35,1481.71,370.48,1017.54,293.6,611.79,3171.494,3715.878,2976.39,1498.123,3166.281,2776.683,2806.558,111.188,527.2916,481.372,2090.307,1912.953,2494.64,3039.47,605.1747,2805.6599,256.5361,216.7,222.9,380.15,394.5,278.92,576.22,120.59,230.33,184.66,1342.54,1869.38
1/22/01,186.986,938.45,237.9027,849.09,323.5422,537.7899,167.93,1147.67,1184.06,535,1091.9,564.11,324.63,601.24,1251.84,506.25,1483.61,370.36,1020.71,293.64,612.4,3176.647,3724.689,2974.103,1505.153,3161.387,2774.82,2809.678,111.152,525.6199,482.988,2096.664,1921.203,2508.19,3065.16,608.472,2799.48,259.7573,218.11,224.7,384.12,402.01,275.97,566.5,121.57,223.4,188.48,1342.9,1869.89
1/23/01,185.212,936.42,237.4719,848.36,324.4924,536.9628,167.76,1145.34,1180.42,535.03,1098.14,572.57,328.83,608.12,1263.7,520.15,1483.93,372.29,1025.94,295.62,612.45,3182.23,3709.357,3011.397,1488.289,3175.7,2808.784,2812.866,111.736,536.0918,487.701,2163.069,1967.798,2552.72,3132.67,619.491,2833.54,262.1943,218.55,227.18,390.54,402.9,281.15,578.91,122.48,223.95,192.11,1360.4,1894.25
1/24/01,184.094,936.28,237.491,848.88,325.2901,536.078,167.75,1146.59,1181.9,530.76,1102.88,574.38,331.42,611.31,1267.3,520.81,1472.13,371.82,1029.08,295.19,607.57,3151.949,3668.75,3023.793,1477.062,3172.046,2821.068,2791.412,111.594,538.5706,488.59,2172.97,1968.688,2544.51,3144.04,619.6818,2842,263.7886,219.48,227.73,393.73,400.68,279.74,582.65,122.15,222.62,194.43,1364.3,1899.71
1/25/01,184.452,938.17,237.9625,849.52,325.8688,535.285,167.82,1148.48,1187.56,532.04,1109.96,574.26,330.46,613.42,1268.93,518.6,1475.47,372.2,1033.95,294.64,609.04,3155.903,3691.482,3006.547,1483.393,3171.914,2805.947,2795.603,111.709,527.3563,491.236,2146.705,1955.922,2540.78,3139.15,615.9726,2817.5801,264.8536,220.98,233.17,394.32,410.24,280.76,557.16,124.13,217.75,198.02,1357.51,1890.27
1/26/01,184.815,938.91,238.2094,850.29,326.8056,535.1444,167.9,1149.48,1187.33,530.9,1103.12,572.17,331.69,610.53,1266.24,519.01,1473.54,370.79,1029.4,294.12,607.71,3149.721,3670.707,3000.886,1479.552,3188.616,2800.469,2792.113,111.287,528.357,489.54,2145.304,1954.649,2539.13,3140,617.3682,2813.73,261.2187,219.65,229.61,395.97,409.98,276.4,564.95,122,215.08,197.54,1354.95,1886.8
1/29/01,181.808,938.45,238.1371,850.89,327.8812,535.2085,168.01,1149.27,1184.77,531.3,1105.81,573.49,336.51,615.82,1271.73,528.9,1473.86,369.83,1031.35,295.1,608.14,3140.065,3694.657,3020.947,1476.089,3195.365,2817.342,2795.585,110.997,533.4618,492.483,2193.218,1991.028,2578.01,3184.91,626.5279,2829.55,265.8205,217.96,227.25,397.65,404.27,276.19,575.98,122.28,223.55,197.97,1364.17,1899.75
1/30/01,182.154,941.54,238.8917,851.89,328.5737,535.4947,168.2,1152.2,1194.09,534.04,1114.23,572.99,339.55,620.62,1278.69,529.42,1479.56,373.27,1038.14,296.87,611.29,3158.167,3698.254,3043.517,1477.002,3206.203,2838.448,2806.85,112.033,535.7072,497.008,2215.217,2005.822,2591.19,3193.39,632.4642,2852.79,266.2689,221.75,229.54,400.18,405,282.44,577.56,126.59,225.22,195.75,1373.73,1913.13
1/31/01,180.573,945.9,240.0366,853.7,331.2945,536.1212,168.49,1157.47,1205.01,537.99,1113.6,567.18,336.52,621,1273.51,527.9,1491.3,379.02,1039.53,297.27,615.78,3204.372,3713.909,3026.444,1496.564,3189.013,2822.458,2827.33,113.758,528.6019,496.711,2195.113,1992.922,2580.68,3173.22,630.7186,2834.1599,269.2784,223.12,233.57,395.38,406.43,282.81,562.02,128.19,222.66,194.83,1366.01,1902.55
2/1/01,183.987,949.28,240.8661,854.87,332.1472,537.7478,168.66,1161.27,1214.89,539.83,1119.19,570.72,338.74,621.65,1284.99,525.48,1495.36,377.64,1041.51,298.33,617.91,3198.584,3742.516,3042.02,1513.54,3207.624,2837.565,2834.754,113.344,530.0873,499.747,2185.031,1995.659,2598,3168.38,632.5762,2852.71,267.7142,226.1,231.68,398.02,410.82,282.8,566.74,129.43,227.72,192.94,1373.47,1913.11
2/2/01,186.98,945.85,240.0598,853.6,332.0879,537.908,168.37,1157.69,1206.42,533.61,1108.75,563.87,335.16,616.93,1260.57,518.29,1476.92,376.73,1031.43,293.95,610.78,3148.5,3691.814,2987.173,1501.022,3193.954,2785.112,2800.373,113.072,513.6102,495.97,2128.233,1964.507,2581.36,3128.82,624.9162,2794.9199,261.4348,225.68,232.74,396.7,412.16,280.94,539.37,128.24,217.13,195.23,1349.47,1879.69
2/5/01,183.666,945.69,239.9968,853.72,332.1233,538.1658,168.41,1156.53,1203.85,533.05,1112.25,567.95,336.01,619.77,1261.68,519.79,1476.66,370.33,1036.23,294.26,610.14,3162.791,3645.371,2999.417,1475.954,3214.903,2796.798,2800.198,111.152,512.2089,499.793,2112.573,1963.419,2595.18,3135.88,622.5571,2803.8401,261.7259,226.87,237.16,399.83,413.04,285.86,532.66,129.06,219.62,198.13,1354.31,1886.48
2/6/01,183.614,943.79,239.5265,852.84,331.6633,538.1791,168.31,1152.82,1195.41,531.32,1113.58,564.35,336.78,620.76,1262.79,525.85,1471.92,371.5,1037.12,293.76,608.14,3158.43,3625.421,2996.733,1479.136,3193.401,2794.733,2791.075,111.504,513.5211,498.443,2141.941,1983.238,2612.9,3144.83,627.2424,2800.0901,261.0828,226.83,238.46,392.14,412.43,285.13,537.7,128.26,220.31,198.08,1352.26,1883.72
2/7/01,185.159,944.29,239.6529,853.38,331.7932,538.4093,168.42,1153.61,1193.69,527.27,1112.34,561.39,335.56,621.47,1256.61,523.89,1459.23,365.51,1034.71,291.04,603.49,3120.271,3617.147,2969.987,1475.949,3165.229,2771.628,2765.032,109.706,503.6826,497.394,2137.309,1988.797,2631.43,3137.76,628.6244,2765.75,261.192,230.33,238.23,390.02,410.95,283.12,521.11,128.27,216.21,201.64,1340.89,1868.29
2/8/01,184.773,944.21,239.671,853.29,332.2148,538.5922,168.4,1153.96,1194.31,520.77,1114.65,558.68,334.84,622.22,1245.31,522.06,1441.19,367.76,1034.42,288.6,596.06,3079.421,3578.417,2950.562,1469.414,3118.811,2753.54,2731.592,110.383,497.0848,497.236,2112.323,1972.455,2617.63,3125.24,624.3929,2747.1599,257.5371,231.35,238.44,389.27,411.77,283.8,508.83,126.85,215.6,204.34,1332.53,1856.66
2/9/01,183.604,946.79,240.3043,854.38,332.7311,538.7495,168.57,1157.4,1200.12,518.11,1108.64,552.91,330.36,618.1,1229.15,519.95,1432.76,368.18,1028.87,285.61,593.03,3052.815,3583.008,2905.129,1461.977,3097.195,2710.884,2714.6,110.508,484.2216,496.009,2073.16,1949.53,2602.6,3104.64,617.413,2706.1101,252.9028,231.11,243.08,391.06,412.81,278.58,484.49,126.25,209.98,207.16,1314.76,1831.96
2/12/01,182.364,945.79,240.0964,854.55,333.1872,538.9321,168.65,1157.1,1194.78,522.26,1115.9,556.6,335.23,622.67,1241.87,523.93,1447.29,368.65,1035.88,288.64,597.77,3090.13,3583.008,2940.078,1469.978,3150.843,2745.277,2740.513,110.649,489.9705,501.52,2105.167,1982.185,2649.06,3121.25,625.2772,2742.47,258.5668,232.01,240.5,397.73,419.3,284.28,487.76,126.26,214.73,205.38,1330.31,1853.65
2/13/01,182.853,944.52,239.822,853.92,333.6397,538.9246,168.53,1155.89,1193.23,519,1109.91,551.47,333.04,623.02,1233.33,521.72,1438.94,370.43,1032.62,286.65,594.04,3057.234,3580.205,2913.401,1473.487,3145.087,2720.331,2724.304,111.184,481.6822,499.83,2084.406,1971.605,2645.02,3107.88,623.4458,2712.3999,260.666,231.62,237.55,393.75,410.24,285.17,477.22,126.42,214.52,206.01,1318.8,1837.77
2/14/01,181.692,942.75,239.408,852.73,333.6842,538.9386,168.32,1152.98,1191.3,514.45,1101.07,550.87,332.08,619.25,1229.56,523.28,1424.74,369.06,1024.55,284.93,588.81,2999.481,3584.632,2905.305,1466.474,3139.525,2713.098,2698.068,110.801,487.7743,494.209,2092.688,1975.503,2645.83,3108.45,622.6776,2709.3101,259.2552,227.27,236.57,389.36,406.65,281.73,493.82,125.27,206.52,205.15,1315.92,1834.1
2/15/01,180.222,940.79,238.9847,852.93,334.1928,537.8055,168.21,1151.84,1189.32,514.15,1107.75,553.26,334.43,622.45,1238.2,527.78,1423.53,372.71,1029.3,286.18,588.44,2991.029,3620.028,2929.452,1450.104,3125.274,2736.004,2696.615,111.895,496.8874,495.266,2125.424,1996.549,2662.94,3135.44,628.4721,2735.6201,260.5299,226.99,232.94,388.44,403.22,288.07,511.48,129.15,205.97,202.93,1326.61,1849.15
